iteration,test_split,batch,epoch,layer,stateful,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
113,0.2,128,50,1,False,0.4,selu,normal,,0.601584462049578,0.7378037653600403,35.78106713294983,13
114,0.2,128,50,2,False,0,selu,uniform,,0.39764886276514183,0.0,90.04642033576965,13
115,0.2,128,50,2,False,0,selu,normal,,0.5904676718630206,0.7330357206106389,65.3121657371521,13
116,0.2,128,50,2,False,0.2,selu,uniform,,0.39764886276514183,0.0,91.04114532470703,13
117,0.2,128,50,2,False,0.2,selu,normal,,0.40748786097623313,0.0642128146434,63.33810091018677,13
118,0.2,128,50,2,False,0.4,selu,uniform,,0.4045489394326604,0.03308604431340741,83.8589518070221,13
119,0.2,128,50,2,False,0.4,selu,normal,,0.5944288269869664,0.7285944120767265,64.98404312133789,13
120,0.2,128,50,3,False,0,selu,uniform,,0.40339892665474064,0.027905886125730434,122.3337824344635,13
121,0.2,128,50,3,False,0,selu,normal,,0.5978788653207256,0.7399055461588218,92.84327530860901,13
122,0.2,128,50,3,False,0.2,selu,uniform,,0.39764886276514183,0.0,128.5149712562561,13
123,0.2,128,50,3,False,0.2,selu,normal,,0.5928954766164066,0.7315298210383393,93.8082685470581,13
124,0.2,128,50,3,False,0.4,selu,uniform,,0.39764886276514183,0.0,119.90564131736755,13
125,0.2,128,50,3,False,0.4,selu,normal,,0.6013289036544849,0.7382018380954323,94.23389339447021,13
126,0.2,128,50,1,False,0,tanh,uniform,,0.6029900332225911,0.746225248303368,52.9887056350708,13
127,0.2,128,50,1,False,0,tanh,normal,,0.6018400204446713,0.7454289726087102,37.15606188774109,13
128,0.2,128,50,1,False,0.2,tanh,uniform,,0.6027344748274979,0.7473906214391347,51.89036250114441,13
129,0.2,128,50,1,False,0.2,tanh,normal,,0.602351137234858,0.7470955201210153,34.421698570251465,13
130,0.2,128,50,1,False,0.4,tanh,uniform,,0.602351137234858,0.7470955201210153,46.83030128479004,13
131,0.2,128,50,1,False,0.4,tanh,normal,,0.6040122668029644,0.748374292499532,34.33069610595703,13
132,0.2,128,50,2,False,0,tanh,uniform,,0.6006900076667517,0.7452209241287723,90.31822848320007,13
133,0.2,128,50,2,False,0,tanh,normal,,0.602351137234858,0.7465862254940736,64.78092193603516,13
134,0.2,128,50,2,False,0.2,tanh,uniform,,0.602351137234858,0.7465862254940736,91.0487129688263,13
135,0.2,128,50,2,False,0.2,tanh,normal,,0.6006900076667517,0.7452209241287723,61.92156147956848,13
136,0.2,128,50,2,False,0.4,tanh,uniform,,0.602351137234858,0.7465862254940736,83.65710806846619,13
137,0.2,128,50,2,False,0.4,tanh,normal,,0.6022233580373113,0.7469942166834522,61.66175436973572,13
138,0.2,128,50,3,False,0,tanh,uniform,,0.6006900076667517,0.7452209241287723,121.43688416481018,13
139,0.2,128,50,3,False,0,tanh,normal,,0.6006900076667517,0.7452209241287723,90.92141246795654,13
140,0.2,128,50,3,False,0.2,tanh,uniform,,0.603756708407871,0.7477069952715597,126.33205771446228,13
141,0.2,128,50,3,False,0.2,tanh,normal,,0.602351137234858,0.746583090473717,91.39015579223633,13
142,0.2,128,50,3,False,0.4,tanh,uniform,,0.6020955788397647,0.7463761791301812,118.82409572601318,13
143,0.2,128,50,3,False,0.4,tanh,normal,,0.6006900076667517,0.7457785754326923,91.92140746116638,13
144,0.2,128,50,1,False,0,sigmoid,uniform,,0.6042678251980576,0.747623649608421,53.37472915649414,13
145,0.2,128,50,1,False,0,sigmoid,normal,,0.604140046000511,0.7472208138351897,37.18731212615967,13
146,0.2,128,50,1,False,0.2,sigmoid,uniform,,0.602351137234858,0.7465862254940736,52.34348511695862,13
147,0.2,128,50,1,False,0.2,sigmoid,normal,,0.602351137234858,0.7465862254940736,35.171698331832886,13
148,0.2,128,50,1,False,0.4,sigmoid,uniform,,0.6040122668029644,0.748374292499532,47.75335216522217,13
149,0.2,128,50,1,False,0.4,sigmoid,normal,,0.6024789164324046,0.747193887227055,35.24982285499573,13
150,0.2,128,50,2,False,0,sigmoid,uniform,,0.6008177868642983,0.7453259473107187,91.14016914367676,13
151,0.2,128,50,2,False,0,sigmoid,normal,,0.6023511372348579,0.746583090473717,65.37467002868652,13
152,0.2,128,50,2,False,0.2,sigmoid,uniform,,0.6038844876054176,0.7478088834331496,91.02963161468506,13
153,0.2,128,50,2,False,0.2,sigmoid,normal,,0.6014566828520316,0.7466692626615098,62.30727553367615,13
154,0.2,128,50,2,False,0.4,sigmoid,uniform,,0.6006900076667517,0.7452209241287723,84.43707823753357,13
155,0.2,128,50,2,False,0.4,sigmoid,normal,,0.602351137234858,0.747575712197846,62.66127848625183,13
156,0.2,128,50,3,False,0,sigmoid,uniform,,0.6008177868642983,0.7453259473107187,122.4071044921875,13
157,0.2,128,50,3,False,0,sigmoid,normal,,0.602351137234858,0.7465862254940736,91.24954104423523,13
158,0.2,128,50,3,False,0.2,sigmoid,uniform,,0.6027344748274979,0.7468918899788426,127.68686008453369,13
159,0.2,128,50,3,False,0.2,sigmoid,normal,,0.6012011244569383,0.7460270831438864,92.76278162002563,13
160,0.2,128,50,3,False,0.4,sigmoid,uniform,,0.5990288780986454,0.7444217233295716,119.23377323150635,13
161,0.2,128,50,3,False,0.4,sigmoid,normal,,0.602351137234858,0.747575712197846,92.15578246116638,13
162,0.2,32,100,1,False,0,selu,uniform,,0.39764886276514183,0.0,133.62948489189148,13
163,0.2,32,100,1,False,0,selu,normal,,0.4197546639407105,0.10386047445245009,119.4837806224823,13
164,0.2,32,100,1,False,0.2,selu,uniform,,0.5981344237158189,0.7259994304289483,129.76604223251343,13
165,0.2,32,100,1,False,0.2,selu,normal,,0.5872731919243546,0.7007670802149076,117.53066062927246,13
166,0.2,32,100,1,False,0.4,selu,uniform,,0.56197291081012,0.5643861312749647,129.0391058921814,13
167,0.2,32,100,1,False,0.4,selu,normal,,0.5737285969844109,0.638651109038612,119.10878777503967,13
168,0.2,32,100,2,False,0,selu,uniform,,0.39764886276514183,0.0,241.56431889533997,13
169,0.2,32,100,2,False,0,selu,normal,,0.4071045233835932,0.06712630262334257,219.96764016151428,13
170,0.2,32,100,2,False,0.2,selu,uniform,,0.5918732430360335,0.7330923158313445,232.8501501083374,13
171,0.2,32,100,2,False,0.2,selu,normal,,0.5905954510605672,0.6939285360971021,208.53094911575317,13
172,0.2,32,100,2,False,0.4,selu,uniform,,0.5972399693329924,0.7257330379632696,225.89235091209412,13
173,0.2,32,100,2,False,0.4,selu,normal,,0.5990288780986454,0.7360222912056128,206.85833311080933,13
174,0.2,32,100,3,False,0,selu,uniform,,0.39764886276514183,0.0,316.6624162197113,13
175,0.2,32,100,3,False,0,selu,normal,,0.4102990033222592,0.08296772978565904,288.94274401664734,13
176,0.2,32,100,3,False,0.2,selu,uniform,,0.39764886276514183,0.0,338.69551396369934,13
177,0.2,32,100,3,False,0.2,selu,normal,,0.398671096345515,0.06798970813151942,305.2071816921234,13
178,0.2,32,100,3,False,0.4,selu,uniform,,0.39764886276514183,0.0,325.78813219070435,13
179,0.2,32,100,3,False,0.4,selu,normal,,0.39764886276514183,0.0,303.3272542953491,13
180,0.2,32,100,1,False,0,tanh,uniform,,0.5867620751341679,0.7307572419172889,131.608704328537,13
181,0.2,32,100,1,False,0,tanh,normal,,0.584973166368515,0.7315368202342728,117.73377203941345,13
182,0.2,32,100,1,False,0.2,tanh,uniform,,0.5954510605673394,0.7359010309339045,127.67456102371216,13
183,0.2,32,100,1,False,0.2,tanh,normal,,0.5877843087145411,0.7086843166630433,114.87871789932251,13
184,0.2,32,100,1,False,0.4,tanh,uniform,,0.5784564272936364,0.6727231916135089,126.54035115242004,13
185,0.2,32,100,1,False,0.4,tanh,normal,,0.571939688218758,0.6782805397564557,115.93691563606262,13
186,0.2,32,100,2,False,0,tanh,uniform,,0.5989010989010987,0.7422791589316302,238.90932989120483,13
187,0.2,32,100,2,False,0,tanh,normal,,0.5967288525428058,0.7388412541676134,217.96106433868408,13
188,0.2,32,100,2,False,0.2,tanh,uniform,,0.5976233069256323,0.7437558747632388,226.11365389823914,13
189,0.2,32,100,2,False,0.2,tanh,normal,,0.5954510605673394,0.7415764330478621,202.09414172172546,13
190,0.2,32,100,2,False,0.4,tanh,uniform,,0.5974955277280857,0.7396398217610631,219.62253832817078,13
191,0.2,32,100,2,False,0.4,tanh,normal,,0.5967288525428058,0.742880021147428,201.72037506103516,13
192,0.2,32,100,3,False,0,tanh,uniform,,0.6040122668029644,0.7479107715947391,306.7656090259552,13
193,0.2,32,100,3,False,0,tanh,normal,,0.6040122668029644,0.7479107715947391,280.7466866970062,13
194,0.2,32,100,3,False,0.2,tanh,uniform,,0.602351137234858,0.7465862254940736,324.20588541030884,13
195,0.2,32,100,3,False,0.2,tanh,normal,,0.5990288780986454,0.7438129570958052,292.54121589660645,13
196,0.2,32,100,3,False,0.4,tanh,uniform,,0.5973677485305391,0.7436463792706454,314.5594549179077,13
197,0.2,32,100,3,False,0.4,tanh,normal,,0.599156657296192,0.745054979450097,289.36116433143616,13
198,0.2,32,100,1,False,0,sigmoid,uniform,,0.5943010477894196,0.7384766137384501,132.29715776443481,13
199,0.2,32,100,1,False,0,sigmoid,normal,,0.5937899309992332,0.7385601567377519,119.53064799308777,13
200,0.2,32,100,1,False,0.2,sigmoid,uniform,,0.5990288780986454,0.7423568582034091,127.90387272834778,13
201,0.2,32,100,1,False,0.2,sigmoid,normal,,0.5940454893943264,0.7384621797792289,114.06192779541016,13
202,0.2,32,100,1,False,0.4,sigmoid,uniform,,0.5997955532839253,0.7445738794676432,125.12366080284119,13
203,0.2,32,100,1,False,0.4,sigmoid,normal,,0.602351137234858,0.7470955201210153,115.73379254341125,13
204,0.2,32,100,2,False,0,sigmoid,uniform,,0.6013289036544849,0.7457460400385035,238.68753147125244,13
205,0.2,32,100,2,False,0,sigmoid,normal,,0.5940454893943264,0.7393120788756649,216.67077255249023,13
206,0.2,32,100,2,False,0.2,sigmoid,uniform,,0.5990288780986454,0.7438129570958052,228.0898938179016,13
207,0.2,32,100,2,False,0.2,sigmoid,normal,,0.6040122668029644,0.7468954400890025,203.99802541732788,13
208,0.2,32,100,2,False,0.4,sigmoid,uniform,,0.602351137234858,0.7470955201210153,222.28955793380737,13
209,0.2,32,100,2,False,0.4,sigmoid,normal,,0.6040122668029644,0.7479107715947391,203.61992239952087,13
210,0.2,32,100,3,False,0,sigmoid,uniform,,0.6033733708152311,0.7474013307867909,309.9331111907959,13
211,0.2,32,100,3,False,0,sigmoid,normal,,0.6004344492716583,0.7454896881000652,282.17610335350037,13
212,0.2,32,100,3,False,0.2,sigmoid,uniform,,0.602351137234858,0.7470955201210153,328.2325277328491,13
213,0.2,32,100,3,False,0.2,sigmoid,normal,,0.6040122668029644,0.748374292499532,293.8994925022125,13
214,0.2,32,100,3,False,0.4,sigmoid,uniform,,0.602351137234858,0.7465862254940736,319.34040212631226,13
215,0.2,32,100,3,False,0.4,sigmoid,normal,,0.602351137234858,0.747575712197846,292.8515031337738,13
216,0.2,64,100,1,False,0,selu,uniform,,0.5734730385893175,0.7008436673565729,92.21800351142883,13
217,0.2,64,100,1,False,0,selu,normal,,0.5884232047022743,0.7250113970713347,76.62460398674011,13
218,0.2,64,100,1,False,0.2,selu,uniform,,0.40327114745719406,0.0411578286910616,91.71827864646912,13
219,0.2,64,100,1,False,0.2,selu,normal,,0.578967544083823,0.690723484503547,76.28120541572571,13
220,0.2,64,100,1,False,0.4,selu,uniform,,0.5813953488372091,0.6759087223888188,87.67976808547974,13
221,0.2,64,100,1,False,0.4,selu,normal,,0.5798619984666497,0.6679006187975759,76.85898637771606,13
222,0.2,64,100,2,False,0,selu,uniform,,0.4101712241247125,0.06645371805420001,159.58355689048767,13
223,0.2,64,100,2,False,0,selu,normal,,0.41681574239713776,0.09130051242088333,134.2024383544922,13
224,0.2,64,100,2,False,0.2,selu,uniform,,0.5884232047022743,0.7275231243318968,162.20228958129883,13
225,0.2,64,100,2,False,0.2,selu,normal,,0.40748786097623313,0.057827285411590316,133.3587760925293,13
226,0.2,64,100,2,False,0.4,selu,uniform,,0.4069767441860466,0.054281833556671176,153.7853012084961,13
227,0.2,64,100,2,False,0.4,selu,normal,,0.5871454127268079,0.7173062119535422,134.43681168556213,13
228,0.2,64,100,3,False,0,selu,uniform,,0.39764886276514183,0.0,221.7429461479187,13
229,0.2,64,100,3,False,0,selu,normal,,0.4814720163557372,0.3642708362719902,190.67090129852295,13
230,0.2,64,100,3,False,0.2,selu,uniform,,0.4054433938154869,0.05841294216486469,230.45978140830994,13
231,0.2,64,100,3,False,0.2,selu,normal,,0.39764886276514183,0.0,194.39138340950012,13
232,0.2,64,100,3,False,0.4,selu,uniform,,0.5520061334014822,0.5804385704350601,222.14158391952515,13
233,0.2,64,100,3,False,0.4,selu,normal,,0.5291336570406336,0.5092312857008979,194.59274673461914,13
234,0.2,64,100,1,False,0,tanh,uniform,,0.5805008944543827,0.7263890208822057,91.73390817642212,13
235,0.2,64,100,1,False,0,tanh,normal,,0.594173268591873,0.7370702686657502,76.34533262252808,13
236,0.2,64,100,1,False,0.2,tanh,uniform,,0.5886787630973676,0.7346780755814589,92.26515340805054,13
237,0.2,64,100,1,False,0.2,tanh,normal,,0.5969844109378991,0.7393143845297102,73.92149782180786,13
