iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
95,0.2,64,50,2,0.2,selu,normal,,0.7482155013128463,0.8266523737865489,335.57686400413513,13
96,0.2,64,50,2,0.4,selu,zero,,0.6033550520276184,0.7496210765144661,320.45250415802,13
97,0.2,64,50,2,0.4,selu,uniform,,0.7469610035981716,0.8259298229200137,328.21619725227356,13
98,0.2,64,50,2,0.4,selu,normal,,0.7425556744140814,0.8143384983679296,333.28664231300354,13
99,0.2,64,50,3,0,selu,zero,,0.6033550520276184,0.7496210765144661,355.7278687953949,13
100,0.2,64,50,3,0,selu,uniform,,0.7435476028396382,0.8009622274932247,346.36508083343506,13
101,0.2,64,50,3,0,selu,normal,,0.7536127589224935,0.8151880444206497,347.6120672225952,13
102,0.2,64,50,3,0.2,selu,zero,,0.6033550520276184,0.7496210765144661,331.64993262290955,13
103,0.2,64,50,3,0.2,selu,uniform,,0.7428960420110862,0.812996443787927,325.89402079582214,13
104,0.2,64,50,3,0.2,selu,normal,,0.7408732860060293,0.8120078273251538,329.93594789505005,13
105,0.2,64,50,3,0.4,selu,zero,,0.6033550520276184,0.7496210765144661,333.07890462875366,13
106,0.2,64,50,3,0.4,selu,uniform,,0.7403773217932509,0.8136797267290049,328.9249393939972,13
107,0.2,64,50,3,0.4,selu,normal,,0.7389575026743167,0.8029254240893693,331.17588543891907,13
108,0.2,64,50,1,0,tanh,zero,,0.6033550520276184,0.7496210765144661,248.44617748260498,13
109,0.2,64,50,1,0,tanh,uniform,,0.7810463872410776,0.8365648464170512,248.16219520568848,13
110,0.2,64,50,1,0,tanh,normal,,0.7891763104152485,0.8343112799736936,241.60530066490173,13
111,0.2,64,50,1,0.2,tanh,zero,,0.6033550520276184,0.7496210765144661,255.23708248138428,13
112,0.2,64,50,1,0.2,tanh,uniform,,0.7504035787221628,0.8344324618428305,253.2766933441162,13
113,0.2,64,50,1,0.2,tanh,normal,,0.7513955071477195,0.8330203967845102,259.5999460220337,13
114,0.2,64,50,1,0.4,tanh,zero,,0.6033550520276184,0.7496210765144661,252.73363256454468,13
115,0.2,64,50,1,0.4,tanh,uniform,,0.752727803170281,0.8352311821451851,260.3439838886261,13
116,0.2,64,50,1,0.4,tanh,normal,,0.7484586210249926,0.8336645986791466,248.4761688709259,13
117,0.2,64,50,2,0,tanh,zero,,0.6033550520276184,0.7496210765144661,272.5867953300476,13
118,0.2,64,50,2,0,tanh,uniform,,0.7581834095108432,0.8373525055850438,262.78193759918213,13
119,0.2,64,50,2,0,tanh,normal,,0.7788874841972186,0.8472392279040806,273.9377567768097,13
120,0.2,64,50,2,0.2,tanh,zero,,0.6033550520276184,0.7496210765144661,296.77322578430176,13
121,0.2,64,50,2,0.2,tanh,uniform,,0.7438782456481571,0.8302054051456847,288.7655189037323,13
122,0.2,64,50,2,0.2,tanh,normal,,0.7467373334629971,0.8325140647168878,300.66231513023376,13
123,0.2,64,50,2,0.4,tanh,zero,,0.6033550520276184,0.7496210765144661,288.7194924354553,13
124,0.2,64,50,2,0.4,tanh,uniform,,0.745307789555577,0.8313453830239644,291.80343079566956,13
125,0.2,64,50,2,0.4,tanh,normal,,0.744734027034912,0.8306906396692691,286.45050382614136,13
126,0.2,64,50,3,0,tanh,zero,,0.6033550520276184,0.7496210765144661,293.76040959358215,13
127,0.2,64,50,3,0,tanh,uniform,,0.7416998930273266,0.8254865499785644,283.9975287914276,13
128,0.2,64,50,3,0,tanh,normal,,0.7486336672177379,0.8340214314461829,289.87380194664,13
129,0.2,64,50,3,0.2,tanh,zero,,0.6033550520276184,0.7496210765144661,331.7692081928253,13
130,0.2,64,50,3,0.2,tanh,uniform,,0.7434406301662937,0.8280563718096751,334.1807050704956,13
131,0.2,64,50,3,0.2,tanh,normal,,0.7421569580861614,0.828880823698971,330.1227707862854,13
132,0.2,64,50,3,0.4,tanh,zero,,0.6033550520276184,0.7496210765144661,334.2913386821747,13
133,0.2,64,50,3,0.4,tanh,uniform,,0.7430613634153457,0.8296118491388297,335.1186785697937,13
134,0.2,64,50,3,0.4,tanh,normal,,0.7402800739083923,0.8269814044585126,336.89421129226685,13
135,0.2,64,50,1,0,sigmoid,zero,,0.7460954974229311,0.7395851846286463,258.24271512031555,13
136,0.2,64,50,1,0,sigmoid,uniform,,0.7762520665175534,0.8484312247150552,255.60318636894226,13
137,0.2,64,50,1,0,sigmoid,normal,,0.7724691237965574,0.8466157314863424,239.90417313575745,13
138,0.2,64,50,1,0.2,sigmoid,zero,,0.7595448798988621,0.84215694772538,259.54988384246826,13
139,0.2,64,50,1,0.2,sigmoid,uniform,,0.7582709326072158,0.8411977891265704,256.2174234390259,13
140,0.2,64,50,1,0.2,sigmoid,normal,,0.7583487309151025,0.8412518094381068,264.49079847335815,13
141,0.2,64,50,1,0.4,sigmoid,zero,,0.758582125838763,0.841442927470205,256.54800057411194,13
142,0.2,64,50,1,0.4,sigmoid,uniform,,0.7576679957210931,0.8407618020548994,260.8598747253418,13
143,0.2,64,50,1,0.4,sigmoid,normal,,0.7569191870076825,0.8402150697818763,248.49723529815674,13
144,0.2,64,50,2,0,sigmoid,zero,,0.7298939998055044,0.6440421107116919,273.2749466896057,13
145,0.2,64,50,2,0,sigmoid,uniform,,0.7553437712729748,0.8390064142179977,278.71161818504333,13
146,0.2,64,50,2,0,sigmoid,normal,,0.7558980842166683,0.8394291670200715,278.71661496162415,13
147,0.2,64,50,2,0.2,sigmoid,zero,,0.7590100165321404,0.8417286633772608,302.6454086303711,13
148,0.2,64,50,2,0.2,sigmoid,uniform,,0.7576096469901777,0.8406564740009512,306.93913221359253,13
149,0.2,64,50,2,0.2,sigmoid,normal,,0.757473499951376,0.8406436958460448,292.69035148620605,13
150,0.2,64,50,2,0.4,sigmoid,zero,,0.7588544199163667,0.841620591242893,311.18816113471985,13
151,0.2,64,50,2,0.4,sigmoid,uniform,,0.7581056112029565,0.8409705092383568,306.89150381088257,13
152,0.2,64,50,2,0.4,sigmoid,normal,,0.758523777107848,0.8414062542879602,302.0621943473816,13
153,0.2,64,50,3,0,sigmoid,zero,,0.7214042594573566,0.6197195691312205,306.7650969028473,13
154,0.2,64,50,3,0,sigmoid,uniform,,0.7515024798210639,0.8361711441909959,288.4824113845825,13
155,0.2,64,50,3,0,sigmoid,normal,,0.7524457843041912,0.8368516340919125,292.5190439224243,13
156,0.2,64,50,3,0.2,sigmoid,zero,,0.7556841388699794,0.8392676274986394,325.0358247756958,13
157,0.2,64,50,3,0.2,sigmoid,uniform,,0.750520276183993,0.835448088321829,317.7439486980438,13
158,0.2,64,50,3,0.2,sigmoid,normal,,0.7582514830302439,0.8411361063132424,320.04089736938477,13
159,0.2,64,50,3,0.4,sigmoid,zero,,0.7534571623067198,0.8375503969487413,324.94180822372437,13
160,0.2,64,50,3,0.4,sigmoid,uniform,,0.7542643197510452,0.8382062369096415,325.93279337882996,13
161,0.2,64,50,3,0.4,sigmoid,normal,,0.7577652436059515,0.8408378468576684,320.6808795928955,13
162,0.2,128,50,1,0,selu,zero,,0.6033550520276184,0.7496210765144661,171.17927384376526,13
163,0.2,128,50,1,0,selu,uniform,,0.7688612272683069,0.812292742762258,164.17438507080078,13
164,0.2,128,50,1,0,selu,normal,,0.7668481960517359,0.7809183068058181,170.3872971534729,13
165,0.2,128,50,1,0.2,selu,zero,,0.6033550520276184,0.7496210765144661,192.70995783805847,13
166,0.2,128,50,1,0.2,selu,uniform,,0.7318973062335895,0.7077910304187834,182.17612981796265,13
167,0.2,128,50,1,0.2,selu,normal,,0.73510648643392,0.6875568453705502,184.7010953426361,13
168,0.2,128,50,1,0.4,selu,zero,,0.6033550520276184,0.7496210765144661,187.96505618095398,13
169,0.2,128,50,1,0.4,selu,uniform,,0.724895458523777,0.5712765940377456,180.83616375923157,13
170,0.2,128,50,1,0.4,selu,normal,,0.7225712340756589,0.5246810319168668,185.26209330558777,13
171,0.2,128,50,2,0,selu,zero,,0.6033550520276184,0.7496210765144661,191.06300234794617,13
172,0.2,128,50,2,0,selu,uniform,,0.7485461441213653,0.8083337453925895,189.22003602981567,13
173,0.2,128,50,2,0,selu,normal,,0.7578235923368667,0.8106653723045062,189.35803127288818,13
174,0.2,128,50,2,0.2,selu,zero,,0.6033550520276184,0.7496210765144661,227.54942560195923,13
175,0.2,128,50,2,0.2,selu,uniform,,0.745317514344063,0.8164382930211701,216.09759330749512,13
176,0.2,128,50,2,0.2,selu,normal,,0.7454925605368083,0.8054598821147093,216.90657758712769,13
177,0.2,128,50,2,0.4,selu,zero,,0.6033550520276184,0.7496210765144661,220.30553317070007,13
178,0.2,128,50,2,0.4,selu,uniform,,0.7239521540406495,0.5933742286453506,229.05439591407776,13
179,0.2,128,50,2,0.4,selu,normal,,0.7293494116502964,0.6589194624971041,216.17259454727173,13
180,0.2,128,50,3,0,selu,zero,,0.6033550520276184,0.7496210765144661,220.87803959846497,13
181,0.2,128,50,3,0,selu,uniform,,0.7456092579986384,0.7937660105753327,214.11563563346863,13
182,0.2,128,50,3,0,selu,normal,,0.7440630166293883,0.8047795581167814,208.02474188804626,13
183,0.2,128,50,3,0.2,selu,zero,,0.6033550520276184,0.7496210765144661,244.33717799186707,13
184,0.2,128,50,3,0.2,selu,uniform,,0.7392103471749489,0.8053818025311371,237.5882968902588,13
185,0.2,128,50,3,0.2,selu,normal,,0.742069434989789,0.8176586814062364,250.66309809684753,13
186,0.2,128,50,3,0.4,selu,zero,,0.6033550520276184,0.7496210765144661,250.8088183403015,13
187,0.2,128,50,3,0.4,selu,uniform,,0.7211514149567245,0.6572026963998044,250.263103723526,13
188,0.2,128,50,3,0.4,selu,normal,,0.7145093844208888,0.6579918550524095,240.9112446308136,13
189,0.2,128,50,1,0,tanh,zero,,0.6033550520276184,0.7496210765144661,184.31812620162964,13
