iteration,test_split,batch,epoch,layer,stateful,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
105,0.2,64,50,3,False,0.4,selu,glorot_normal,,0.4608143794190306,0.0,285.2625515460968,13
106,0.2,64,50,3,False,0.4,selu,uniform,,0.4608143794190306,0.0,243.97439074516296,13
107,0.2,64,50,3,False,0.4,selu,normal,,0.4608143794190306,0.0,246.80280017852783,13
108,0.2,64,50,1,False,0,tanh,glorot_normal,,0.522020615043871,0.535670668132184,129.31307721138,13
109,0.2,64,50,1,False,0,tanh,uniform,,0.5201465201465203,0.5368893173887315,96.60249543190002,13
110,0.2,64,50,1,False,0,tanh,normal,,0.5225743248999063,0.5389062910561313,95.90423631668091,13
111,0.2,64,50,1,False,0.2,tanh,glorot_normal,,0.525513246443479,0.535317657964945,134.17151999473572,13
112,0.2,64,50,1,False,0.2,tanh,uniform,,0.5215094982536843,0.528959760574179,102.39136528968811,13
113,0.2,64,50,1,False,0.2,tanh,normal,,0.5278132719993185,0.5372771296229751,102.5698573589325,13
114,0.2,64,50,1,False,0.4,tanh,glorot_normal,,0.5218502427804753,0.5376601699113144,122.61013150215149,13
115,0.2,64,50,1,False,0.4,tanh,uniform,,0.5251725019166881,0.5315877277334383,100.4898772239685,13
116,0.2,64,50,1,False,0.4,tanh,normal,,0.520870602265951,0.534164978946804,102.0818567276001,13
117,0.2,64,50,2,False,0,tanh,glorot_normal,,0.514481642388619,0.5032306072641427,206.74924993515015,13
118,0.2,64,50,2,False,0,tanh,uniform,,0.5223613595706619,0.5275248031633748,161.04839396476746,13
119,0.2,64,50,2,False,0,tanh,normal,,0.5176335292614362,0.5300457311937998,160.425767660141,13
120,0.2,64,50,2,False,0.2,tanh,glorot_normal,,0.5196779964221825,0.5284484992165324,221.9834222793579,13
121,0.2,64,50,2,False,0.2,tanh,uniform,,0.5217224635829286,0.5308630328906478,173.9548900127411,13
122,0.2,64,50,2,False,0.2,tanh,normal,,0.5212965329244399,0.5309517083008198,169.31858587265015,13
123,0.2,64,50,2,False,0.4,tanh,glorot_normal,,0.5235965584802794,0.5414576734195692,207.463561296463,13
124,0.2,64,50,2,False,0.4,tanh,uniform,,0.5211261606610444,0.5375679745585616,171.94687938690186,13
125,0.2,64,50,2,False,0.4,tanh,normal,,0.5259391771019678,0.5412781186461307,170.79407382011414,13
126,0.2,64,50,3,False,0,tanh,glorot_normal,,0.5203594854757647,0.5307249494222374,285.7363610267639,13
127,0.2,64,50,3,False,0,tanh,uniform,,0.5192094726978448,0.5244856315795994,235.8104808330536,13
128,0.2,64,50,3,False,0,tanh,normal,,0.5170798194054008,0.5290486103970167,233.35209584236145,13
