iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
52,0.2,32,50,3,0.4,tanh,uniform,,0.8462348860578951,0.7965683165272196,789.3109567165375,13
53,0.2,32,50,3,0.4,tanh,normal,,0.8400726117540277,0.7869451143653412,799.17604804039,13
54,0.2,32,50,1,0,sigmoid,zero,,0.6363318097831373,0.276286320867002,589.0751166343689,13
55,0.2,32,50,1,0,sigmoid,uniform,,0.8590424324937601,0.8152104953597513,427.66726303100586,13
56,0.2,32,50,1,0,sigmoid,normal,,0.8580926448183087,0.8140214685098778,435.9019615650177,13
57,0.2,32,50,1,0.2,sigmoid,zero,,0.8760608123439982,0.8378507236587814,542.1057860851288,13
58,0.2,32,50,1,0.2,sigmoid,uniform,,0.8763622807870596,0.8381109443391486,576.6108248233795,13
59,0.2,32,50,1,0.2,sigmoid,normal,,0.877117572692794,0.8392457538286425,560.7460713386536,13
60,0.2,32,50,1,0.4,sigmoid,zero,,0.881276540568576,0.8444965838633616,613.5813887119293,13
61,0.2,32,50,1,0.4,sigmoid,uniform,,0.881675256896496,0.8451171738750126,619.2460007667542,13
62,0.2,32,50,1,0.4,sigmoid,normal,,0.8828195403416643,0.8463953855929415,579.3623144626617,13
63,0.2,32,50,2,0,sigmoid,zero,,0.6436837498784401,0.30115731394590245,492.9632065296173,13
64,0.2,32,50,2,0,sigmoid,uniform,,0.850588349703394,0.8040408368280454,539.4374163150787,13
65,0.2,32,50,2,0,sigmoid,normal,,0.8498914065285746,0.8035833983440702,582.3666348457336,13
66,0.2,32,50,2,0.2,sigmoid,zero,,0.8752374469188628,0.8363641322574257,597.976588010788,13
67,0.2,32,50,2,0.2,sigmoid,uniform,,0.8729715712016597,0.8333054824117395,723.8622765541077,13
68,0.2,32,50,2,0.2,sigmoid,normal,,0.8730007455671173,0.8330556896761286,695.0270869731903,13
69,0.2,32,50,2,0.4,sigmoid,zero,,0.8793186164867581,0.8416618723760035,641.7536110877991,13
70,0.2,32,50,2,0.4,sigmoid,uniform,,0.8796362929106291,0.8418583548514699,537.5532608032227,13
71,0.2,32,50,2,0.4,sigmoid,normal,,0.8797659567571071,0.8419576698013425,616.6750016212463,13
72,0.2,32,50,3,0,sigmoid,zero,,0.6320950435994683,0.28261103202280985,655.2693717479706,13
73,0.2,32,50,3,0,sigmoid,uniform,,0.8358390871665209,0.7839535433730982,715.4671347141266,13
74,0.2,32,50,3,0,sigmoid,normal,,0.8383513241920321,0.787301270407586,690.0108134746552,13
75,0.2,32,50,3,0.2,sigmoid,zero,,0.8671593892832831,0.8262371669568622,799.3332033157349,13
76,0.2,32,50,3,0.2,sigmoid,uniform,,0.8630069045998251,0.8204091839077812,610.4350731372833,13
77,0.2,32,50,3,0.2,sigmoid,normal,,0.8641220136795358,0.8220046024920405,600.3877000808716,13
78,0.2,32,50,3,0.4,sigmoid,zero,,0.8618885539239524,0.8158557458057338,606.9781224727631,13
79,0.2,32,50,3,0.4,sigmoid,uniform,,0.865211189989951,0.8229033837307986,605.0211234092712,13
80,0.2,32,50,3,0.4,sigmoid,normal,,0.8673149858990568,0.826698099738725,614.5992031097412,13
81,0.2,64,50,1,0,selu,zero,,0.6117507860870692,0.23566009611647457,304.17802834510803,13
82,0.2,64,50,1,0,selu,uniform,,0.5832150150734222,0.038244153998611634,296.16910433769226,13
83,0.2,64,50,1,0,selu,normal,,0.584463029595773,0.041290188519991014,302.6910207271576,13
84,0.2,64,50,1,0.2,selu,zero,,0.6117507860870692,0.23566009611647457,300.77158522605896,13
85,0.2,64,50,1,0.2,selu,uniform,,0.5811209439528024,0.010778718904655333,310.4324505329132,13
