iteration,lag,test_split,K,rmse,init,random_run,accuracy,f_score,time_train
215,13,0.3,9,,k-means++,1,0.6068376068376069,0.3762132604237868,0.9532253742218018
216,13,0.3,10,,k-means++,1,0.6068376068376069,0.3762132604237868,1.0342128276824951
217,13,0.3,11,,k-means++,1,0.6068376068376069,0.3762132604237868,1.140744924545288
218,13,0.3,12,,k-means++,1,0.6068376068376069,0.3762132604237868,1.3595194816589355
219,13,0.3,13,,k-means++,1,0.6068376068376069,0.3762132604237868,1.1563715934753418
220,13,0.3,14,,k-means++,1,0.6068376068376069,0.3762132604237868,1.2501304149627686
221,13,0.3,15,,k-means++,1,0.6068376068376069,0.3762132604237868,1.2970118522644043
222,13,0.3,16,,k-means++,1,0.6068376068376069,0.3762132604237868,1.0938653945922852
223,13,0.3,17,,k-means++,1,0.6068376068376069,0.3762132604237868,0.5781857967376709
224,13,0.3,18,,k-means++,1,0.6068376068376069,0.3762132604237868,0.37503981590270996
225,13,0.3,19,,k-means++,1,0.6068376068376069,0.3762132604237868,0.2656533718109131
226,13,0.3,2,,k-means++,2,0.6068376068376069,0.3762132604237868,0.4062955379486084
227,13,0.3,3,,k-means++,2,0.6068376068376069,0.3762132604237868,0.4219191074371338
228,13,0.3,4,,k-means++,2,0.6068376068376069,0.3762132604237868,0.5938105583190918
229,13,0.3,5,,k-means++,2,0.6068376068376069,0.3762132604237868,0.5781865119934082
230,13,0.3,6,,k-means++,2,0.6068376068376069,0.3762132604237868,0.7344551086425781
231,13,0.3,7,,k-means++,2,0.6068376068376069,0.3762132604237868,0.8676145076751709
232,13,0.3,8,,k-means++,2,0.6068376068376069,0.3762132604237868,0.9688510894775391
233,13,0.3,9,,k-means++,2,0.6068376068376069,0.3762132604237868,0.968853235244751
234,13,0.3,10,,k-means++,2,0.6068376068376069,0.3762132604237868,1.0626120567321777
235,13,0.3,11,,k-means++,2,0.6068376068376069,0.3762132604237868,1.1094932556152344
236,13,0.3,12,,k-means++,2,0.6068376068376069,0.3762132604237868,1.3241169452667236
237,13,0.3,13,,k-means++,2,0.6068376068376069,0.3762132604237868,1.1341722011566162
238,13,0.3,14,,k-means++,2,0.6068376068376069,0.3762132604237868,1.2345054149627686
239,13,0.3,15,,k-means++,2,0.6068376068376069,0.3762132604237868,1.359518051147461
240,13,0.3,16,,k-means++,2,0.6068376068376069,0.3762132604237868,0.9532253742218018
241,13,0.3,17,,k-means++,2,0.6068376068376069,0.3762132604237868,0.6409087181091309
242,13,0.3,18,,k-means++,2,0.6068376068376069,0.3762132604237868,0.406292200088501
243,13,0.3,19,,k-means++,2,0.6068376068376069,0.3762132604237868,0.2969059944152832
244,13,0.3,2,,k-means++,3,0.6068376068376069,0.3762132604237868,0.37504053115844727
245,13,0.3,3,,k-means++,3,0.6068376068376069,0.3762132604237868,0.4531722068786621
246,13,0.3,4,,k-means++,3,0.6068376068376069,0.3762132604237868,0.5625593662261963
247,13,0.3,5,,k-means++,3,0.6068376068376069,0.3762132604237868,0.6094396114349365
248,13,0.3,6,,k-means++,3,0.6068376068376069,0.3762132604237868,0.7188258171081543
249,13,0.3,7,,k-means++,3,0.6068376068376069,0.3762132604237868,0.7813315391540527
250,13,0.3,8,,k-means++,3,0.6068376068376069,0.3762132604237868,0.906346321105957
251,13,0.3,9,,k-means++,3,0.6068376068376069,0.3762132604237868,0.9844801425933838
252,13,0.3,10,,k-means++,3,0.6068376068376069,0.3762132604237868,1.058938980102539
253,13,0.3,11,,k-means++,3,0.6068376068376069,0.3762132604237868,1.1094920635223389
254,13,0.3,12,,k-means++,3,0.6068376068376069,0.3762132604237868,1.1719985008239746
255,13,0.3,13,,k-means++,3,0.6068376068376069,0.3762132604237868,1.2900493144989014
256,13,0.3,14,,k-means++,3,0.6068376068376069,0.3762132604237868,1.2501325607299805
257,13,0.3,15,,k-means++,3,0.6068376068376069,0.3762132604237868,1.2657570838928223
258,13,0.3,16,,k-means++,3,0.6068376068376069,0.3762132604237868,0.9219727516174316
259,13,0.3,17,,k-means++,3,0.6068376068376069,0.3762132604237868,0.6094393730163574
260,13,0.3,18,,k-means++,3,0.6068376068376069,0.3762132604237868,0.4375464916229248
261,13,0.3,19,,k-means++,3,0.6068376068376069,0.3762132604237868,0.28115296363830566
262,13,0.3,2,,k-means++,4,0.6068376068376069,0.3762132604237868,0.4219212532043457
263,13,0.3,3,,k-means++,4,0.6068376068376069,0.3762132604237868,0.40629100799560547
264,13,0.3,4,,k-means++,4,0.6068376068376069,0.3762132604237868,0.5625593662261963
265,13,0.3,5,,k-means++,4,0.6068376068376069,0.3762132604237868,0.6250677108764648
266,13,0.3,6,,k-means++,4,0.6068376068376069,0.3762132604237868,0.7569236755371094
267,13,0.3,7,,k-means++,4,0.6068376068376069,0.3762132604237868,0.6875724792480469
268,13,0.3,8,,k-means++,4,0.6068376068376069,0.3762132604237868,0.9532260894775391
269,13,0.3,9,,k-means++,4,0.6068376068376069,0.3762132604237868,1.0313587188720703
270,13,0.3,10,,k-means++,4,0.6068376068376069,0.3762132604237868,1.0938646793365479
271,13,0.3,11,,k-means++,4,0.6068376068376069,0.3762132604237868,1.109492540359497
272,13,0.3,12,,k-means++,4,0.6068376068376069,0.3762132604237868,1.1876249313354492
273,13,0.3,13,,k-means++,4,0.6068376068376069,0.3762132604237868,1.3684985637664795
274,13,0.3,14,,k-means++,4,0.6068376068376069,0.3762132604237868,1.2475104331970215
275,13,0.3,15,,k-means++,4,0.6068376068376069,0.3762132604237868,1.3126375675201416
276,13,0.3,16,,k-means++,4,0.6068376068376069,0.3762132604237868,0.93760085105896
